10  84.6435100548
11.5594471292  84.6435100548
13.1486485985  84.2778793419
15.1991108295  83.9122486289
17.1041002404  83.1809872029
19.3514399542  82.084095064
21.2002179793  80.987202925
23.1012970008  79.8903107861
25.4445283832  78.2449725777
26.7038221298  77.5137111517
29.5707589353  74.7714808044
32.2224462678  72.2120658135
35.4908622061  68.9213893967
38.4664036934  65.4478976234
40.370172586  63.436928702
43.0558962612  60.1462522852
44.7043361775  57.7696526508
47.9349943649  54.113345521
50.0380871638  51.7367458867
53.3669923121  48.4460694698
55.7084077793  45.886654479
59.7342996522  42.0475319927
62.0212896459  39.8537477148
66.5033959541  36.3802559415
69.0495478631  34.0036563071
74.0395668682  30.3473491773
76.8742489446  28.1535648995
81.9884948638  24.4972577697
85.127509943  22.4862888483
92.2645706341  19.1956124314
95.797015997  17.550274223
105.513984452  14.4424131627
111.332009149  12.7970749543
123.948162612  10.0548446069
132.194114847  8.59232175503
149.563346788  6.39853747715
159.513411296  5.4844606947
182.419920059  3.6563071298
193.514399542  2.92504570384
221.303531834  1.64533820841
236.026286204  1.09689213894
272.833337649  0.54844606947
289.426612472  0.54844606947
334.561162466  0.36563071298
